Number_of_prior_offenses,Frequency_of_previous_bail_violations,Potential_sentence_length,Age,Existing_debts_or_liabilities,Bail_amount,Severity_of_current_offense,Types_of_prior_offenses,Gender,Employment_status,Marital_status,Financial_stability,Property_ownership,Family_connections,Community_involvement,Stability_of_residence,Previous_compliance_with_court_orders,History_of_bail_conditions_adherence,Attempt_to_Flee
1,0,18,47,75874,11370,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Weak,Active,Stable,Compliant,Adherent,No
18,1,7,30,31854,9822,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,None,Inactive,Stable,Compliant,Adherent,Yes
1,3,13,26,71310,12676,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Owns_Property,Weak,Active,Stable,Compliant,Adherent,No
0,3,7,61,39838,27713,Medium,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,No
0,3,16,40,39212,5022,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Rents,None,Active,Stable,Compliant,Adherent,No
6,9,4,36,17870,12058,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,Strong,Inactive,Unstable,Non-Compliant,Adherent,Yes
6,6,18,45,25,19183,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Owns_Property,Strong,None,Unstable,Non-Compliant,Adherent,Yes
9,5,13,45,81717,7648,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,Strong,Active,Unstable,Non-Compliant,Non-Adherent,Yes
1,0,5,61,24409,40618,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Rents,Strong,Active,Unstable,Non-Compliant,Adherent,No
2,3,7,20,5990,30743,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
11,5,17,37,95057,46229,Low,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,Owns_Property,None,None,Unstable,Non-Compliant,Adherent,Yes
0,3,15,79,31847,14079,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,No_Property,Strong,Active,Stable,Compliant,Adherent,No
1,3,5,69,87496,11792,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
6,1,7,43,7354,3554,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,No
5,3,4,41,76204,24670,Low,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Owns_Property,Strong,None,Stable,Non-Compliant,Adherent,No
7,3,9,69,31377,34417,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
5,3,18,48,9812,8021,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
8,5,11,74,46225,24132,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,None,Active,Unstable,Compliant,Adherent,Yes
15,3,1,57,11176,38353,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Strong,Active,Stable,Compliant,Adherent,Yes
14,9,3,48,4467,29112,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
10,0,10,20,68524,20111,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Non-Compliant,Adherent,No
7,4,18,44,29772,13516,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,None,Unstable,Non-Compliant,Adherent,Yes
14,9,17,73,89627,46040,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
14,3,14,50,27182,7176,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Strong,None,Unstable,Compliant,Adherent,Yes
4,3,7,63,87871,15287,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Rents,None,Inactive,Stable,Compliant,Adherent,No
10,3,4,26,78750,47301,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
6,2,9,72,74754,31922,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,None,Active,Unstable,Compliant,Adherent,No
15,1,12,66,37835,48565,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,No_Property,Strong,Inactive,Unstable,Compliant,Adherent,Yes
11,9,3,67,17889,14159,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Owns_Property,None,Active,Stable,Non-Compliant,Adherent,Yes
5,0,8,37,73627,23986,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Weak,Active,Stable,Non-Compliant,Adherent,No
0,1,18,47,74588,4101,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
7,3,5,28,63594,49620,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,No_Property,Strong,Active,Stable,Non-Compliant,Adherent,No
13,2,16,67,20622,34709,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,No_Property,Weak,None,Stable,Non-Compliant,Adherent,Yes
11,7,9,24,1840,14912,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,Rents,None,Inactive,Unstable,Compliant,Adherent,Yes
12,1,7,26,56635,26369,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,No_Property,Strong,None,Stable,Non-Compliant,Adherent,Yes
3,1,12,68,42220,34105,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
15,0,15,21,46545,37991,Medium,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Unstable,Non-Compliant,Non-Adherent,Yes
2,1,15,25,85678,10346,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,No
0,2,11,45,82457,35227,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,None,Active,Unstable,Non-Compliant,Adherent,No
17,7,9,32,73750,5795,Low,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,No_Property,None,Inactive,Stable,Non-Compliant,Non-Adherent,Yes
10,3,5,74,25073,49301,Low,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Owns_Property,Weak,Active,Unstable,Compliant,Adherent,No
19,3,8,70,39337,34681,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Owns_Property,None,Inactive,Unstable,Compliant,Adherent,Yes
7,0,14,79,97668,4795,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,Weak,Inactive,Unstable,Compliant,Adherent,No
0,2,18,29,87889,42240,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Weak,Active,Stable,Compliant,Adherent,No
2,9,10,75,77502,12586,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Owns_Property,Strong,None,Stable,Compliant,Non-Adherent,Yes
4,2,1,52,12271,40534,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Weak,Inactive,Unstable,Compliant,Adherent,No
17,1,1,33,83075,33601,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Rents,Weak,None,Stable,Compliant,Adherent,Yes
14,4,8,30,50785,15278,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
9,3,11,20,31539,6564,Medium,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Owns_Property,Strong,Active,Unstable,Compliant,Adherent,No
9,2,7,24,27908,5580,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,No_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
12,4,18,42,3005,29715,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Rents,None,Inactive,Stable,Compliant,Adherent,Yes
14,3,8,27,87596,24579,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Strong,None,Stable,Compliant,Adherent,Yes
7,3,7,33,98818,35494,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,None,None,Stable,Compliant,Adherent,No
4,4,13,24,96837,49507,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,None,Unstable,Compliant,Non-Adherent,Yes
1,7,17,76,88239,6936,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Weak,Inactive,Stable,Non-Compliant,Adherent,Yes
3,7,12,23,56284,33794,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,No_Property,Strong,Active,Stable,Compliant,Adherent,Yes
0,4,18,34,80514,33999,Medium,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,No_Property,Weak,Active,Unstable,Compliant,Adherent,Yes
11,9,4,25,97673,39039,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,No_Property,Weak,Inactive,Stable,Compliant,Non-Adherent,Yes
6,1,8,49,97730,15665,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
3,2,19,49,81833,36744,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
1,5,19,51,8696,4830,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,No_Property,None,Active,Stable,Compliant,Adherent,Yes
13,1,8,23,58145,39464,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,Yes
9,1,3,62,51197,2487,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Strong,None,Unstable,Compliant,Adherent,No
13,0,19,76,47520,20231,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,No_Property,Strong,Active,Stable,Compliant,Adherent,Yes
7,1,16,41,45540,17449,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
10,1,5,19,89557,24693,High,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Weak,Active,Stable,Non-Compliant,Non-Adherent,Yes
2,2,5,73,88721,23040,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Weak,Active,Stable,Compliant,Adherent,No
11,5,4,43,55429,17259,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,Active,Stable,Non-Compliant,Non-Adherent,Yes
13,6,2,45,84337,3601,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,Yes
0,1,18,51,27995,42731,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Owns_Property,Weak,Inactive,Stable,Non-Compliant,Adherent,No
2,0,14,61,24985,16869,High,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,No
3,2,11,76,1055,26543,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
0,3,4,42,48911,27633,Low,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Unstable,No_Property,Strong,Active,Unstable,Compliant,Adherent,No
1,1,4,41,98519,49836,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,No_Property,None,Active,Unstable,Compliant,Adherent,No
0,1,10,40,54660,40182,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Weak,Active,Stable,Compliant,Adherent,No
1,2,10,52,56511,43089,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,Weak,Active,Stable,Non-Compliant,Adherent,No
1,0,10,73,15571,23788,Medium,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Owns_Property,Strong,None,Unstable,Non-Compliant,Adherent,No
16,5,18,61,94230,10879,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,None,Inactive,Stable,Compliant,Non-Adherent,Yes
8,3,4,23,63078,8004,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,No
10,2,13,22,39750,21200,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,Owns_Property,Weak,Inactive,Unstable,Compliant,Adherent,No
5,3,7,58,84568,43205,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Owns_Property,Weak,Inactive,Unstable,Compliant,Adherent,No
9,7,18,48,31016,42788,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,None,Active,Stable,Non-Compliant,Adherent,Yes
5,0,14,41,62258,30537,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,No
9,9,19,72,16547,23232,Medium,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,Rents,None,None,Stable,Non-Compliant,Adherent,Yes
10,1,4,57,56335,1638,High,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
10,1,18,64,3406,6704,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
6,4,15,51,17305,13075,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,None,Inactive,Stable,Non-Compliant,Adherent,Yes
5,0,4,51,65848,43590,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
0,9,10,63,77355,1734,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Weak,Active,Stable,Compliant,Adherent,Yes
14,9,6,30,69335,40280,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Weak,None,Stable,Non-Compliant,Adherent,Yes
10,3,9,68,54938,24796,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,None,Stable,Compliant,Adherent,No
1,1,9,19,1589,44259,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Weak,None,Stable,Non-Compliant,Adherent,No
17,0,19,70,87025,29701,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,Yes
